"BIB_DOC","CTRL_FIELDS","CIS_BIBS","OCLC_BIBS"
25738338,2,1,1
24452253,2,1,1
25738444,2,1,1
23942009,2,1,1
24257359,2,1,1
26231468,2,1,1
24986814,2,1,1
26269038,2,1,1
25056703,2,1,1
24117308,2,1,1
24529096,2,1,1
25126908,2,1,1
24457685,2,1,1
25255642,2,1,1
24561009,2,1,1
25102741,2,1,1
24105592,2,1,1
24194726,2,1,1
25110148,2,1,1
24072513,2,1,1
25723739,2,1,1
25113193,2,1,1
25113571,2,1,1
25113359,2,1,1
25668019,2,1,1
24226318,2,1,1
25677055,2,1,1
25123058,2,1,1
24220260,2,1,1
25024724,2,1,1
24979081,2,1,1
23878877,2,1,1
25125823,2,1,1
25023710,2,1,1
25699334,2,1,1
25130066,2,1,1
25130280,2,1,1
25198690,2,1,1
24386089,2,1,1
25199483,2,1,1
25071420,2,1,1
24139462,2,1,1
23761663,3,1,1
24558604,2,1,1
24283038,2,1,1
25057986,2,1,1
25203500,2,1,1
25212829,2,1,1
25212576,2,1,1
23787254,3,1,1
24578732,2,1,1
24536562,2,1,1
24995899,2,1,1
24996612,2,1,1
24338055,2,1,1
24996701,2,1,1
24997126,2,1,1
24997076,2,1,1
23954662,2,1,1
24301364,2,1,1
24335145,2,1,1
24303655,2,1,1
24303809,2,1,1
24015106,2,1,1
24485462,2,1,1
25016198,2,1,1
25098828,2,1,1
25180276,2,1,1
25179867,2,1,1
25179776,2,1,1
25007845,2,1,1
25179684,2,1,1
25810711,2,1,1
25642170,2,1,1
25732798,2,1,1
25733806,2,1,1
25807972,2,1,1
24305995,2,1,1
25032557,2,1,1
25011170,2,1,1
25411121,2,1,1
24087031,2,1,1
24585248,2,1,1
25045999,2,1,1
25621278,2,1,1
25099683,2,1,1
25721332,2,1,1
24361228,2,1,1
25021039,2,1,1
25153766,2,1,1
25138702,2,1,1
25140856,2,1,1
25144182,2,1,1
25082994,2,1,1
24558893,2,1,1
25224080,2,1,1
25030722,2,1,1
25620676,2,1,1
25742023,2,1,1
24392373,2,1,1
25630426,2,1,1
24269051,2,1,1
24274370,2,1,1
25078037,2,1,1
23793211,3,1,1
23755042,3,1,1
25080175,2,1,1
25080515,2,1,1
26259184,2,1,1
24158565,2,1,1
